lineage,label
BA.4.2,Omicron
BA.4.3,Omicron
BA.4.4,Omicron
BA.4.5,Omicron
BA.4.6,Omicron
BA.4.6.1,Omicron
BA.4.6.2,Omicron
BA.4.6.3,Omicron
BA.4.6.4,Omicron
BA.4.6.5,Omicron
BA.4.7,Omicron
BA.5.1,Omicron
BA.5.1.1,Omicron
BA.5.1.11,Omicron
BA.5.1.15,Omicron
BA.5.1.16,Omicron
BA.5.1.17,Omicron
BA.5.1.18,Omicron
BA.5.1.19,Omicron
BA.5.1.2,Omicron
BA.5.1.21,Omicron
BA.5.1.22,Omicron
BA.5.1.23,Omicron
BA.5.1.24,Omicron
BA.5.1.25,Omicron
BA.5.1.26,Omicron
BA.5.1.27,Omicron
BA.5.1.28,Omicron
BA.5.1.3,Omicron
BA.5.1.30,Omicron
BA.5.1.31,Omicron
BA.5.1.32,Omicron
BA.5.1.33,Omicron
BA.5.1.34,Omicron
BA.5.1.35,Omicron
BA.5.1.36,Omicron
BA.5.1.37,Omicron
BA.5.1.38,Omicron
BA.5.1.4,Omicron
BA.5.1.5,Omicron
BA.5.1.6,Omicron
BA.5.1.7,Omicron
BA.5.1.8,Omicron
BA.5.1.9,Omicron
BA.5.10,Omicron
BA.5.10.1,Omicron
BA.5.11,Omicron
BA.5.12,Omicron
BA.5.2,Omicron
BA.5.2.1,Omicron
BA.5.2.10,Omicron
BA.5.2.12,Omicron
BA.5.2.13,Omicron
BA.5.2.14,Omicron
BA.5.2.19,Omicron
BA.5.2.2,Omicron
BA.5.2.21,Omicron
BA.5.2.22,Omicron
BA.5.2.23,Omicron
BA.5.2.26,Omicron
BA.5.2.27,Omicron
BA.5.2.28,Omicron
BA.5.2.29,Omicron
BA.5.2.3,Omicron
BA.5.2.30,Omicron
BA.5.2.31,Omicron
BA.5.2.32,Omicron
BA.5.2.34,Omicron
BA.5.2.35,Omicron
BA.5.2.37,Omicron
BA.5.2.39,Omicron
BA.5.2.41,Omicron
BA.5.2.43,Omicron
BA.5.2.44,Omicron
BA.5.2.47,Omicron
BA.5.2.48,Omicron
BA.5.2.51,Omicron
BA.5.2.53,Omicron
BA.5.2.54,Omicron
BA.5.2.55,Omicron
BA.5.2.58,Omicron
BA.5.2.59,Omicron
BA.5.2.60,Omicron
BA.5.2.61,Omicron
BA.5.2.63,Omicron
BA.5.2.7,Omicron
BA.5.2.8,Omicron
BA.5.2.9,Omicron
BA.5.3.2,Omicron
BA.5.3.3,Omicron
BA.5.3.4,Omicron
BA.5.3.5,Omicron
BA.5.5.1,Omicron
BA.5.5.2,Omicron
BA.5.5.3,Omicron
BA.5.6,Omicron
BA.5.6.1,Omicron
BA.5.6.2,Omicron
BA.5.6.4,Omicron
BA.5.7,Omicron
BA.5.8,Omicron
BA.5.9,Omicron
BB.2,Mu
BC.1,Omicron
BD.1,Omicron
BE.1.1.2,Omicron
BE.1.2.1,Omicron
BE.1.3,Omicron
BE.1.4,Omicron
BE.1.4.1,Omicron
BE.1.4.2,Omicron
BE.1.4.3,Omicron
BE.1.4.4,Omicron
BE.10,Omicron
BE.11,Omicron
BE.12,Omicron
BE.13,Omicron
BE.2,Omicron
BE.3,Omicron
BE.4,Omicron
BE.4.1,Omicron
BE.4.1.1,Omicron
BE.4.2,Omicron
BE.5,Omicron
BE.6,Omicron
BE.8,Omicron
BE.9,Omicron
BF.1,Omicron
BF.1.1,Omicron
BF.10,Omicron
BF.10.1,Omicron
BF.11,Omicron
BF.11.1,Omicron
BF.11.2,Omicron
BF.11.3,Omicron
BF.11.4,Omicron
BF.11.5,Omicron
BF.13,Omicron
BF.14,Omicron
BF.15,Omicron
BF.16,Omicron
BF.17,Omicron
BF.18,Omicron
BF.19,Omicron
BF.2,Omicron
BF.20,Omicron
BF.21,Omicron
BF.22,Omicron
BF.23,Omicron
BF.24,Omicron
BF.25,Omicron
BF.26,Omicron
BF.27,Omicron
BF.28,Omicron
BF.29,Omicron
BF.3,Omicron
BF.3.1,Omicron
BF.30,Omicron
BF.31.1,Omicron
BF.32,Omicron
BF.34,Omicron
BF.36,Omicron
BF.4,Omicron
BF.40,Omicron
BF.41,Omicron
BF.41.1,Omicron
BF.5,Omicron
BF.5.1,Omicron
BF.5.2,Omicron
BF.5.4,Omicron
BF.5.5,Omicron
BF.6,Omicron
BF.7,Omicron
BF.7.1,Omicron
BF.7.10,Omicron
